Key,ExitTime,Symbol,EntryPrice,Quantity,Pnl,Date
2020-08-10 14:23:00,2020-08-10 15:14:00,BANKNIFTY13AUG2021900PE,296.95,-25,237.5,2020-08-10
2020-08-11 09:52:00,2020-08-11 12:04:00,NIFTY13AUG2011350CE,70.5,-75,1860.0,2020-08-11
2020-08-11 10:00:00,2020-08-11 14:31:00,BANKNIFTY13AUG2022100CE,284.25,-25,-741.2499999999994,2020-08-11
2020-08-11 09:29:00,2020-08-11 09:52:00,NIFTY13AUG2011400PE,86.95,-75,-476.2499999999996,2020-08-11
2020-08-11 10:51:00,2020-08-11 10:52:00,NIFTY13AUG2011400PE,90.05,-75,-281.25,2020-08-11
2020-08-11 11:31:00,2020-08-11 12:03:00,NIFTY13AUG2011400PE,104.55,-75,-708.7500000000002,2020-08-11
2020-08-11 13:30:00,2020-08-11 15:01:00,NIFTY13AUG2011400PE,88.3,-75,-630.0000000000005,2020-08-11
2020-08-11 09:24:00,2020-08-11 09:27:00,BANKNIFTY13AUG2022300PE,301.95,-25,-482.5000000000003,2020-08-11
2020-08-11 10:32:00,2020-08-11 10:42:00,BANKNIFTY13AUG2022300PE,305.85,-25,-313.7500000000003,2020-08-11
2020-08-11 11:36:00,2020-08-11 12:04:00,BANKNIFTY13AUG2022200PE,274.45,-25,-633.7500000000006,2020-08-11
2020-08-11 12:32:00,2020-08-11 15:14:00,BANKNIFTY13AUG2022200PE,283.25,-25,2606.25,2020-08-11
2020-08-12 09:23:00,2020-08-12 09:29:00,NIFTY13AUG2011200CE,77.45,-75,-828.7499999999998,2020-08-12
2020-08-12 10:06:00,2020-08-12 11:07:00,NIFTY13AUG2011250CE,60.35,-75,-446.24999999999966,2020-08-12
2020-08-12 10:24:00,2020-08-12 11:08:00,BANKNIFTY13AUG2022000CE,278.45,-25,-406.25,2020-08-12
2020-08-12 11:21:00,2020-08-12 11:30:00,BANKNIFTY13AUG2022200CE,178.75,-25,-233.74999999999983,2020-08-12
2020-08-12 09:29:00,2020-08-12 11:38:00,NIFTY13AUG2011250PE,57.2,-75,1893.75,2020-08-12
2020-08-12 09:29:00,2020-08-12 12:21:00,BANKNIFTY13AUG2022100PE,195.05,-25,2224.9999999999995,2020-08-12
2020-08-13 10:12:00,2020-08-13 11:07:00,NIFTY13AUG2011300CE,61.95,-75,-382.4999999999996,2020-08-13
2020-08-13 11:40:00,2020-08-13 12:15:00,NIFTY13AUG2011300CE,45.95,-75,1796.2500000000002,2020-08-13
2020-08-13 09:22:00,2020-08-13 11:40:00,BANKNIFTY13AUG2022400CE,114.1,-25,2095.0000000000005,2020-08-13
2020-08-13 09:30:00,2020-08-13 10:13:00,NIFTY13AUG2011400PE,57.75,-75,-675.0,2020-08-13
2020-08-13 10:27:00,2020-08-13 11:38:00,NIFTY13AUG2011400PE,64.10000000000001,-75,-539.9999999999991,2020-08-13
2020-08-13 12:35:00,2020-08-13 13:42:00,NIFTY13AUG2011350PE,57.85,-75,1263.75,2020-08-13
2020-08-13 09:38:00,2020-08-13 10:16:00,BANKNIFTY13AUG2022500PE,158.2,-25,-348.75000000000045,2020-08-13
2020-08-13 11:05:00,2020-08-13 11:38:00,BANKNIFTY13AUG2022500PE,147.5,-25,-412.5,2020-08-13
2020-08-14 09:43:00,2020-08-14 12:13:00,NIFTY20AUG2011300CE,118.95,-75,-269.99999999999955,2020-08-14
2020-08-14 09:24:00,2020-08-14 10:41:00,BANKNIFTY20AUG2022200CE,339.1,-25,2177.499999999999,2020-08-14
2020-08-14 09:26:00,2020-08-14 10:41:00,NIFTY20AUG2011400PE,121.0,-75,-667.5000000000005,2020-08-14
2020-08-14 09:20:00,2020-08-14 09:45:00,BANKNIFTY20AUG2022300PE,320.95,-25,-832.5000000000002,2020-08-14
2020-08-14 10:15:00,2020-08-14 10:18:00,BANKNIFTY20AUG2022200PE,294.05,-25,-178.74999999999943,2020-08-14
2020-08-17 09:23:00,2020-08-17 10:31:00,NIFTY20AUG2011150CE,126.85,-75,-1151.2499999999984,2020-08-17
2020-08-17 09:33:00,2020-08-17 09:45:00,BANKNIFTY20AUG2021600CE,337.0,-25,1768.75,2020-08-17
2020-08-18 09:42:00,2020-08-18 10:17:00,BANKNIFTY20AUG2021700CE,261.95,-25,-553.7500000000009,2020-08-18
2020-08-18 10:56:00,2020-08-18 13:33:00,BANKNIFTY20AUG2021700CE,280.25,-25,-443.75,2020-08-18
2020-08-18 09:21:00,2020-08-18 13:53:00,NIFTY20AUG2011350PE,100.85,-75,2272.500000000001,2020-08-18
2020-08-18 09:21:00,2020-08-18 13:35:00,BANKNIFTY20AUG2021800PE,261.25,-25,2215.0,2020-08-18
2020-08-19 09:45:00,2020-08-19 10:11:00,BANKNIFTY20AUG2022200CE,265.45,-25,-263.7500000000003,2020-08-19
2020-08-19 10:46:00,2020-08-19 10:52:00,BANKNIFTY20AUG2022300CE,228.45,-25,-321.25000000000057,2020-08-19
2020-08-19 11:05:00,2020-08-19 14:00:00,BANKNIFTY20AUG2022300CE,230.65,-25,-211.25000000000043,2020-08-19
2020-08-19 14:28:00,2020-08-19 15:14:00,BANKNIFTY20AUG2022300CE,182.1,-25,1026.2499999999995,2020-08-19
2020-08-19 09:26:00,2020-08-19 09:50:00,BANKNIFTY20AUG2022500PE,256.7,-25,-1254.9999999999998,2020-08-19
2020-08-19 10:07:00,2020-08-19 11:15:00,BANKNIFTY20AUG2022300PE,166.64999999999998,-25,-380.00000000000045,2020-08-19
2020-08-19 11:33:00,2020-08-19 12:13:00,BANKNIFTY20AUG2022400PE,202.95,-25,-730.0000000000005,2020-08-19
2020-08-19 12:22:00,2020-08-19 12:30:00,BANKNIFTY20AUG2022300PE,159.64999999999998,-25,-458.75000000000057,2020-08-19
2020-08-19 12:40:00,2020-08-19 13:40:00,BANKNIFTY20AUG2022400PE,211.25,-25,-389.9999999999999,2020-08-19
2020-08-20 10:47:00,2020-08-20 12:36:00,NIFTY20AUG2011300CE,51.75,-75,2640.0,2020-08-20
