,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,Pnl,ExitType,SignalType
0,2020-11-09 09:43:00,2020-11-09 10:38:00,BANKNIFTY12NOV2027400PE,451.9,474.75,-25,-571.2500000000006,SlHit,VolPattern
1,2020-11-09 11:08:00,2020-11-09 11:22:00,BANKNIFTY12NOV2027300PE,451.45,506.25,-25,-1370.0000000000002,SlHit,VolPattern
2,2020-11-09 13:13:00,2020-11-09 13:16:00,BANKNIFTY12NOV2027300PE,394.4,410.45,-25,-401.2500000000003,SlHit,VolPattern
3,2020-11-09 13:32:00,2020-11-09 14:33:00,BANKNIFTY12NOV2027300PE,378.7,304.15,-25,1863.7500000000002,Target hit,VolPattern
