Time,Pnl,UnrealizedPnl,RealizedPnl
1609991160,0,0,0 
1609991220,0,0,0 
1609991280,0,0,0 
1609991340,0,0,0 
1609991400,0,0,0 
1609991460,0,0,0 
1609991520,0,0,0 
1609991580,0,0,0 
1609991640,0,0,0 
1609991700,0,0,0 
1609991760,0,0,0 
1609991820,0,0,0 
1609991880,0,0,0 
1609991940,0,0,0 
1609992000,0,0,0 
1609992060,0,0,0 
1609992120,0,0,0 
1609992180,0,0,0 
1609992240,0,0,0 
1609992300,0,0,0 
1609992360,0,0,0 
1609992420,0,0,0 
1609992480,0,0,0 
1609992540,0,0,0 
1609992600,0,0,0 
1609992660,0,0,0 
1609992720,0,0,0 
1609992780,0,0,0 
1609992840,0,0,0 
1609992900,0,0,0 
1609992960,0,0,0 
1609993020,0,0,0 
1609993080,0,0,0 
1609993140,0,0,0 
1609993200,0,0,0 
1609993260,0,0,0 
1609993320,0,0,0 
1609993380,0,0,0 
1609993440,0,0,0 
1609993500,0,0,0 
1609993560,0,0,0 
1609993620,0,0,0 
1609993680,0,0,0 
1609993740,0,0,0 
1609993800,0,0,0 
1609993860,0,0,0 
1609993920,0,0,0 
1609993980,0,0,0 
1609994040,0,0,0 
1609994100,0,0,0 
1609994160,0,0,0 
1609994220,0,0,0 
1609994280,0,0,0 
1609994340,0,0,0 
1609994400,0,0,0 
1609994460,0,0,0 
1609994520,0,0,0 
1609994580,0,0,0 
1609994640,0,0,0 
1609994700,0,0,0 
1609994760,0,0,0 
1609994820,0,0,0 
1609994880,0,0,0 
1609994940,0,0,0 
1609995000,0,0,0 
1609995060,0,0,0 
1609995120,0,0,0 
1609995180,0,0,0 
1609995240,0,0,0 
1609995300,0,0,0 
1609995360,0,0,0 
1609995420,0,0,0 
1609995480,0,0,0 
1609995540,0,0,0 
1609995600,0,0,0 
1609995660,0,0,0 
1609995720,0,0,0 
1609995780,0,0,0 
1609995840,0,0,0 
1609995900,0,0,0 
1609995960,0,0,0 
1609996020,0,0,0 
1609996080,0,0,0 
1609996140,0,0,0 
1609996200,0,0,0 
1609996260,0,0,0 
1609996320,0,0,0 
1609996380,0,0,0 
1609996440,0,0,0 
1609996500,0,0,0 
1609996560,0,0,0 
1609996620,0,0,0 
1609996680,0,0,0 
1609996740,0,0,0 
1609996800,0,0,0 
1609996860,0,0,0 
1609996920,0,0,0 
1609996980,0,0,0 
1609997040,0,0,0 
1609997100,0,0,0 
1609997160,0,0,0 
1609997220,0,0,0 
1609997280,0,0,0 
1609997340,0,0,0 
1609997400,0,0,0 
1609997460,0,0,0 
1609997520,0,0,0 
1609997580,0,0,0 
1609997640,0,0,0 
1609997700,0,0,0 
1609997760,0,0,0 
1609997820,0,0,0 
1609997880,0,0,0 
1609997940,0,0,0 
1609998000,0,0,0 
1609998060,0,0,0 
1609998120,0,0,0 
1609998180,0,0,0 
1609998240,0,0,0 
1609998300,0,0,0 
1609998360,0,0,0 
1609998420,0,0,0 
1609998480,0,0,0 
1609998540,0,0,0 
1609998600,0,0,0 
1609998660,0,0,0 
1609998720,0,0,0 
1609998780,0,0,0 
1609998840,0,0,0 
1609998900,0,0,0 
1609998960,0,0,0 
1609999020,0,0,0 
1609999080,0,0,0 
1609999140,0,0,0 
1609999200,0,0,0 
1609999260,0,0,0 
1609999320,0,0,0 
1609999380,0,0,0 
1609999440,0,0,0 
1609999500,0,0,0 
1609999560,0,0,0 
1609999620,0,0,0 
1609999680,0,0,0 
1609999740,0,0,0 
1609999800,0,0,0 
1609999860,0,0,0 
1609999920,0,0,0 
1609999980,0,0,0 
1610000040,0,0,0 
1610000100,0,0,0 
1610000160,0,0,0 
1610000220,0,0,0 
1610000280,0,0,0 
1610000340,0,0,0 
1610000400,0,0,0 
1610000460,0,0,0 
1610000520,0,0,0 
1610000580,0,0,0 
1610000640,0,0,0 
1610000700,0,0,0 
1610000760,0,0,0 
1610000820,0,0,0 
1610000880,0,0,0 
1610000940,0,0,0 
1610001000,0,0,0 
1610001060,0,0,0 
1610001120,0,0,0 
1610001180,0,0,0 
1610001240,0,0,0 
1610001300,0,0,0 
1610001360,0,0,0 
1610001420,0,0,0 
1610001480,0,0,0 
1610001540,0,0,0 
1610001600,0,0,0 
1610001660,0,0,0 
1610001720,0,0,0 
1610001780,0,0,0 
1610001840,0,0,0 
1610001900,0,0,0 
1610001960,0,0,0 
1610002020,0,0,0 
1610002080,0,0,0 
1610002140,0,0,0 
1610002200,0,0,0 
1610002260,0,0,0 
1610002320,0,0,0 
1610002380,0,0,0 
1610002440,0,0,0 
1610002500,0,0,0 
1610002560,0,0,0 
1610002620,0,0,0 
1610002680,0,0,0 
1610002740,0,0,0 
1610002800,0,0,0 
1610002860,0,0,0 
1610002920,0,0,0 
1610002980,0,0,0 
1610003040,0,0,0 
1610003100,0,0,0 
1610003160,0,0,0 
1610003220,0,0,0 
1610003280,0,0,0 
1610003340,0,0,0 
1610003400,0,0,0 
1610003460,0,0,0 
1610003520,0,0,0 
1610003580,0,0,0 
1610003640,0,0,0 
1610003700,0,0,0 
1610003760,0,0,0 
1610003820,0,0,0 
1610003880,0,0,0 
1610003940,0,0,0 
1610004000,0,0,0 
1610004060,0,0,0 
1610004120,0,0,0 
1610004180,0,0,0 
1610004240,0,0,0 
1610004300,0,0,0 
1610004360,0,0,0 
1610004420,0,0,0 
1610004480,0,0,0 
1610004540,0,0,0 
1610004600,0,0,0 
1610004660,0,0,0 
1610004720,0,0,0 
1610004780,0,0,0 
1610004840,0,0,0 
1610004900,0,0,0 
1610004960,0,0,0 
1610005020,0,0,0 
1610005080,0,0,0 
1610005140,0,0,0 
1610005200,0,0,0 
1610005260,0,0,0 
1610005320,0,0,0 
1610005380,0,0,0 
1610005440,0,0,0 
1610005500,0,0,0 
1610005560,0,0,0 
1610005620,0,0,0 
1610005680,0,0,0 
1610005740,0,0,0 
1610005800,0,0,0 
1610005860,0,0,0 
1610005920,0,0,0 
1610005980,0,0,0 
1610006040,0,0,0 
1610006100,0,0,0 
1610006160,0,0,0 
1610006220,0,0,0 
1610006280,0,0,0 
1610006340,0,0,0 
1610006400,0,0,0 
1610006460,0,0,0 
1610006520,0,0,0 
1610006580,0,0,0 
1610006640,0,0,0 
1610006700,0,0,0 
1610006760,0,0,0 
1610006820,0,0,0 
1610006880,0,0,0 
1610006940,0,0,0 
1610007000,0,0,0 
1610007060,0,0,0 
1610007120,0,0,0 
1610007180,0,0,0 
1610007240,0,0,0 
1610007300,0,0,0 
1610007360,0,0,0 
1610007420,0,0,0 
1610007480,0,0,0 
1610007540,0,0,0 
1610007600,0,0,0 
1610007660,0,0,0 
1610007720,0,0,0 
1610007780,0,0,0 
1610007840,0,0,0 
1610007900,0,0,0 
1610007960,0,0,0 
1610008020,0,0,0 
1610008080,0,0,0 
1610008140,0,0,0 
1610008200,0,0,0 
1610008260,0,0,0 
1610008320,0,0,0 
1610008380,0,0,0 
1610008440,0,0,0 
1610008500,0,0,0 
1610008560,0,0,0 
1610008620,0,0,0 
1610008680,0,0,0 
1610008740,0,0,0 
1610008800,0,0,0 
1610008860,0,0,0 
1610008920,0,0,0 
1610008980,0,0,0 
1610009040,0,0,0 
1610009100,0,0,0 
1610009160,0,0,0 
1610009220,0,0,0 
1610009280,0,0,0 
1610009340,0,0,0 
1610009400,0,0,0 
1610009460,0,0,0 
1610009520,0,0,0 
1610009580,0,0,0 
1610009640,0,0,0 
1610009700,0,0,0 
1610009760,0,0,0 
1610009820,0,0,0 
1610009880,0,0,0 
1610009940,0,0,0 
1610010000,0,0,0 
1610010060,0,0,0 
1610010120,0,0,0 
1610010180,0,0,0 
1610010240,0,0,0 
1610010300,0,0,0 
1610010360,0,0,0 
1610010420,0,0,0 
1610010480,0,0,0 
1610010540,0,0,0 
1610010600,0,0,0 
1610010660,0,0,0 
1610010720,0,0,0 
1610010780,0,0,0 
