,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,Pnl,ExitType,SignalType
0,2020-09-15 10:03:00,2020-09-15 11:36:00,BANKNIFTY17SEP2022100CE,361.9,402.85,-25,-1023.7500000000011,SlHit,VolPattern
1,2020-09-15 12:15:00,2020-09-15 12:24:00,BANKNIFTY17SEP2022100CE,354.05,400.0,-25,-1148.7499999999998,SlHit,VolPattern
2,2020-09-15 12:39:00,2020-09-15 12:49:00,BANKNIFTY17SEP2022100CE,367.05,396.6,-25,-738.7500000000002,SlHit,VolPattern
3,2020-09-15 13:10:00,2020-09-15 14:29:00,BANKNIFTY17SEP2022200CE,332.25,355.95,-25,-592.4999999999998,SlHit,VolPattern
