Time,Pnl,UnrealizedPnl,RealizedPnl
1600659960,0,0,0 
1600660020,0,0,0 
1600660080,0,0,0 
1600660140,0,0,0 
1600660200,0,0,0 
1600660260,452.49999999999915,452.49999999999915,0 
1600660320,501.24999999999886,501.24999999999886,0 
1600660380,411.2499999999997,411.2499999999997,0 
1600660440,277.49999999999915,277.49999999999915,0 
1600660500,143.74999999999858,143.74999999999858,0 
1600660560,-65.00000000000057,-65.00000000000057,0 
1600660620,188.74999999999886,188.74999999999886,0 
1600660680,339.99999999999915,339.99999999999915,0 
1600660740,349.9999999999986,349.9999999999986,0 
1600660800,403.74999999999943,403.74999999999943,0 
1600660860,181.24999999999858,181.24999999999858,0 
1600660920,186.24999999999972,186.24999999999972,0 
1600660980,202.49999999999915,202.49999999999915,0 
1600661040,412.4999999999986,412.4999999999986,0 
1600661100,391.24999999999943,391.24999999999943,0 
1600661160,249.99999999999858,249.99999999999858,0 
1600661220,266.24999999999943,266.24999999999943,0 
1600661280,367.4999999999997,367.4999999999997,0 
1600661340,549.9999999999986,549.9999999999986,0 
1600661400,479.9999999999997,479.9999999999997,0 
1600661460,749.9999999999986,749.9999999999986,0 
1600661520,707.4999999999989,707.4999999999989,0 
1600661580,852.4999999999991,852.4999999999991,0 
1600661640,771.2499999999991,771.2499999999991,0 
1600661700,779.9999999999998,779.9999999999998,0 
1600661760,831.2499999999986,831.2499999999986,0 
1600661820,712.4999999999986,712.4999999999986,0 
1600661880,804.9999999999998,804.9999999999998,0 
1600661940,1072.4999999999995,1072.4999999999995,0 
1600662000,1052.499999999999,1052.499999999999,0 
1600662060,852.4999999999991,852.4999999999991,0 
1600662120,717.4999999999998,717.4999999999998,0 
1600662180,646.2499999999991,646.2499999999991,0 
1600662240,581.2499999999986,581.2499999999986,0 
1600662300,747.4999999999994,747.4999999999994,0 
1600662360,767.4999999999998,767.4999999999998,0 
1600662420,846.2499999999991,846.2499999999991,0 
1600662480,868.7499999999986,868.7499999999986,0 
1600662540,777.4999999999991,777.4999999999991,0 
1600662600,896.2499999999991,896.2499999999991,0 
1600662660,964.9999999999991,964.9999999999991,0 
1600662720,917.4999999999998,917.4999999999998,0 
1600662780,714.9999999999991,714.9999999999991,0 
1600662840,736.2499999999998,736.2499999999998,0 
1600662900,676.2499999999989,676.2499999999989,0 
1600662960,681.2499999999986,681.2499999999986,0 
1600663020,877.4999999999991,877.4999999999991,0 
1600663080,852.4999999999991,852.4999999999991,0 
1600663140,758.7499999999991,758.7499999999991,0 
1600663200,1004.9999999999998,1004.9999999999998,0 
1600663260,1249.9999999999986,1249.9999999999986,0 
1600663320,1184.9999999999995,1184.9999999999995,0 
1600663380,1312.4999999999986,1312.4999999999986,0 
1600663440,1133.749999999999,1133.749999999999,0 
1600663500,1113.7499999999989,1113.7499999999989,0 
1600663560,1277.499999999999,1277.499999999999,0 
1600663620,1066.2499999999995,1066.2499999999995,0 
1600663680,959.9999999999994,959.9999999999994,0 
1600663740,977.4999999999991,977.4999999999991,0 
1600663800,948.7499999999998,948.7499999999998,0 
1600663860,794.9999999999989,794.9999999999989,0 
1600663920,252.49999999999915,252.49999999999915,0 
1600663980,278.74999999999943,278.74999999999943,0 
1600664040,-335.00000000000085,-335.00000000000085,0 
1600664100,-261.25000000000114,-261.25000000000114,0 
1600664160,-845.0000000000002,0,-845.0000000000002 
1600664220,-845.0000000000002,0,-845.0000000000002 
1600664280,-845.0000000000002,0,-845.0000000000002 
1600664340,-845.0000000000002,0,-845.0000000000002 
1600664400,-845.0000000000002,0,-845.0000000000002 
1600664460,-845.0000000000002,0,-845.0000000000002 
1600664520,-703.7500000000008,141.24999999999943,-845.0000000000002 
1600664580,-976.2500000000002,-131.25,-845.0000000000002 
1600664640,-928.7500000000008,-83.75000000000057,-845.0000000000002 
1600664700,-1201.2500000000002,0,-1201.2500000000002 
