,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,Pnl,ExitType,SignalType
0,2021-02-15 09:37:00,2021-02-15 10:38:00,NIFTY18FEB2115250CE,117.05,126.0,-75,-671.2500000000002,SlHit,VolPattern
1,2021-02-15 10:48:00,2021-02-15 10:49:00,NIFTY18FEB2115250CE,123.95,131.05,-75,-532.5000000000007,SlHit,VolPattern
2,2021-02-15 11:04:00,2021-02-15 11:27:00,NIFTY18FEB2115300CE,98.15,103.45,-75,-397.4999999999998,SlHit,VolPattern
3,2021-02-15 11:45:00,2021-02-15 12:40:00,NIFTY18FEB2115300CE,100.45,104.15,-75,-277.5000000000002,SlHit,VolPattern
