,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,Pnl,ExitType,SignalType
0,2020-12-03 09:39:00,2020-12-03 09:46:00,BANKNIFTY03DEC2029600CE,147.54999999999998,164.4,-25,-421.25000000000057,SlHit,VolPattern
1,2020-12-03 10:41:00,2020-12-03 12:21:00,BANKNIFTY03DEC2029700CE,160.54999999999998,74.5,-25,2151.2499999999995,Target hit,VolPattern
