Time,Pnl,UnrealizedPnl,RealizedPnl
1599104760,0,0,0 
1599104820,0,0,0 
1599104880,0,0,0 
1599104940,0,0,0 
1599105000,0,0,0 
1599105060,0,0,0 
1599105120,0,0,0 
1599105180,0,0,0 
1599105240,0,0,0 
1599105300,0,0,0 
1599105360,0,0,0 
1599105420,0,0,0 
1599105480,0,0,0 
1599105540,0,0,0 
1599105600,0,0,0 
1599105660,0,0,0 
1599105720,0,0,0 
1599105780,0,0,0 
1599105840,0,0,0 
1599105900,0,0,0 
1599105960,0,0,0 
1599106020,0,0,0 
1599106080,0,0,0 
1599106140,0,0,0 
1599106200,0,0,0 
1599106260,0,0,0 
1599106320,0,0,0 
1599106380,0,0,0 
1599106440,0,0,0 
1599106500,0,0,0 
1599106560,0,0,0 
1599106620,0,0,0 
1599106680,0,0,0 
1599106740,0,0,0 
1599106800,0,0,0 
1599106860,0,0,0 
1599106920,0,0,0 
1599106980,0,0,0 
1599107040,0,0,0 
1599107100,0,0,0 
1599107160,0,0,0 
1599107220,0,0,0 
1599107280,0,0,0 
1599107340,0,0,0 
1599107400,0,0,0 
1599107460,0,0,0 
1599107520,0,0,0 
1599107580,0,0,0 
1599107640,0,0,0 
1599107700,0,0,0 
1599107760,0,0,0 
1599107820,0,0,0 
1599107880,0,0,0 
1599107940,0,0,0 
1599108000,0,0,0 
1599108060,0,0,0 
1599108120,0,0,0 
1599108180,0,0,0 
1599108240,0,0,0 
1599108300,0,0,0 
1599108360,0,0,0 
1599108420,0,0,0 
1599108480,0,0,0 
1599108540,0,0,0 
1599108600,0,0,0 
1599108660,0,0,0 
1599108720,0,0,0 
1599108780,0,0,0 
1599108840,0,0,0 
1599108900,306.25,306.25,0 
1599108960,354.9999999999997,354.9999999999997,0 
1599109020,527.4999999999999,527.4999999999999,0 
1599109080,248.74999999999972,248.74999999999972,0 
1599109140,281.25,281.25,0 
1599109200,246.24999999999986,246.24999999999986,0 
1599109260,86.24999999999972,86.24999999999972,0 
1599109320,-202.50000000000057,-202.50000000000057,0 
1599109380,-233.75000000000057,-233.75000000000057,0 
1599109440,-80.00000000000043,-80.00000000000043,0 
1599109500,-82.50000000000028,-82.50000000000028,0 
1599109560,16.24999999999943,16.24999999999943,0 
1599109620,132.49999999999957,132.49999999999957,0 
1599109680,211.24999999999972,211.24999999999972,0 
1599109740,213.74999999999957,213.74999999999957,0 
1599109800,23.749999999999716,23.749999999999716,0 
1599109860,-226.25000000000028,-226.25000000000028,0 
1599109920,-106.25,-106.25,0 
1599109980,-125.0,-125.0,0 
1599110040,-76.25000000000028,-76.25000000000028,0 
1599110100,-338.7500000000003,0,-338.7500000000003 
1599110160,-338.7500000000003,0,-338.7500000000003 
1599110220,-338.7500000000003,0,-338.7500000000003 
1599110280,-338.7500000000003,0,-338.7500000000003 
1599110340,-338.7500000000003,0,-338.7500000000003 
1599110400,-338.7500000000003,0,-338.7500000000003 
1599110460,-338.7500000000003,0,-338.7500000000003 
1599110520,-338.7500000000003,0,-338.7500000000003 
1599110580,-338.7500000000003,0,-338.7500000000003 
1599110640,-338.7500000000003,0,-338.7500000000003 
1599110700,-338.7500000000003,0,-338.7500000000003 
1599110760,-338.7500000000003,0,-338.7500000000003 
1599110820,-338.7500000000003,0,-338.7500000000003 
1599110880,-467.50000000000006,-128.74999999999977,-338.7500000000003 
1599110940,-440.0000000000002,-101.24999999999993,-338.7500000000003 
1599111000,-316.2500000000001,22.500000000000142,-338.7500000000003 
1599111060,-341.2500000000001,-2.499999999999858,-338.7500000000003 
1599111120,-461.25000000000006,-122.49999999999979,-338.7500000000003 
1599111180,-436.25000000000006,-97.49999999999979,-338.7500000000003 
1599111240,-458.7500000000002,-119.99999999999993,-338.7500000000003 
1599111300,-450.00000000000034,-111.25000000000007,-338.7500000000003 
1599111360,-526.2500000000002,-187.5,-338.7500000000003 
1599111420,-490.0000000000002,-151.24999999999994,-338.7500000000003 
1599111480,-367.50000000000006,-28.749999999999787,-338.7500000000003 
1599111540,-425.00000000000034,-86.25000000000007,-338.7500000000003 
1599111600,-506.25000000000034,-167.50000000000006,-338.7500000000003 
1599111660,-592.5,0,-592.5 
1599111720,-592.5,0,-592.5 
1599111780,-592.5,0,-592.5 
1599111840,-592.5,0,-592.5 
1599111900,-592.5,0,-592.5 
1599111960,-592.5,0,-592.5 
1599112020,-592.5,0,-592.5 
1599112080,-592.5,0,-592.5 
1599112140,-592.5,0,-592.5 
1599112200,-592.5,0,-592.5 
1599112260,-592.5,0,-592.5 
1599112320,-592.5,0,-592.5 
1599112380,-592.5,0,-592.5 
1599112440,-592.5,0,-592.5 
1599112500,-592.5,0,-592.5 
1599112560,-700.0000000000002,-107.50000000000028,-592.5 
1599112620,-715.0000000000001,-122.50000000000014,-592.5 
1599112680,-867.5,-275.0,-592.5 
1599112740,-822.5000000000005,-230.00000000000043,-592.5 
1599112800,-972.5000000000005,-380.00000000000045,-592.5 
1599112860,-1095.0000000000005,0,-1095.0000000000005 
1599112920,-1095.0000000000005,0,-1095.0000000000005 
1599112980,-1095.0000000000005,0,-1095.0000000000005 
1599113040,-1095.0000000000005,0,-1095.0000000000005 
1599113100,-1095.0000000000005,0,-1095.0000000000005 
1599113160,-1095.0000000000005,0,-1095.0000000000005 
1599113220,-1095.0000000000005,0,-1095.0000000000005 
1599113280,-1095.0000000000005,0,-1095.0000000000005 
1599113340,-1095.0000000000005,0,-1095.0000000000005 
1599113400,-1095.0000000000005,0,-1095.0000000000005 
1599113460,-1095.0000000000005,0,-1095.0000000000005 
1599113520,-1095.0000000000005,0,-1095.0000000000005 
1599113580,-1095.0000000000005,0,-1095.0000000000005 
1599113640,-1095.0000000000005,0,-1095.0000000000005 
1599113700,-1095.0000000000005,0,-1095.0000000000005 
1599113760,-1095.0000000000005,0,-1095.0000000000005 
1599113820,-1095.0000000000005,0,-1095.0000000000005 
1599113880,-1095.0000000000005,0,-1095.0000000000005 
1599113940,-1095.0000000000005,0,-1095.0000000000005 
1599114000,-1095.0000000000005,0,-1095.0000000000005 
1599114060,-1095.0000000000005,0,-1095.0000000000005 
1599114120,-1095.0000000000005,0,-1095.0000000000005 
1599114180,-1095.0000000000005,0,-1095.0000000000005 
1599114240,-1095.0000000000005,0,-1095.0000000000005 
1599114300,-1095.0000000000005,0,-1095.0000000000005 
1599114360,-1095.0000000000005,0,-1095.0000000000005 
1599114420,-1095.0000000000005,0,-1095.0000000000005 
1599114480,-1095.0000000000005,0,-1095.0000000000005 
1599114540,-1095.0000000000005,0,-1095.0000000000005 
1599114600,-1095.0000000000005,0,-1095.0000000000005 
1599114660,-1095.0000000000005,0,-1095.0000000000005 
1599114720,-1095.0000000000005,0,-1095.0000000000005 
1599114780,-1095.0000000000005,0,-1095.0000000000005 
1599114840,-1095.0000000000005,0,-1095.0000000000005 
1599114900,-1095.0000000000005,0,-1095.0000000000005 
1599114960,-1095.0000000000005,0,-1095.0000000000005 
1599115020,-1095.0000000000005,0,-1095.0000000000005 
1599115080,-1095.0000000000005,0,-1095.0000000000005 
1599115140,-1095.0000000000005,0,-1095.0000000000005 
1599115200,-1095.0000000000005,0,-1095.0000000000005 
1599115260,-1095.0000000000005,0,-1095.0000000000005 
1599115320,-1095.0000000000005,0,-1095.0000000000005 
1599115380,-1095.0000000000005,0,-1095.0000000000005 
1599115440,-1095.0000000000005,0,-1095.0000000000005 
