Time,Pnl,UnrealizedPnl,RealizedPnl
1608090360,0,0,0 
1608090420,0,0,0 
1608090480,0,0,0 
1608090540,0,0,0 
1608090600,0,0,0 
1608090660,0,0,0 
1608090720,0,0,0 
1608090780,0,0,0 
1608090840,0,0,0 
1608090900,0,0,0 
1608090960,0,0,0 
1608091020,0,0,0 
1608091080,0,0,0 
1608091140,0,0,0 
1608091200,0,0,0 
1608091260,0,0,0 
1608091320,0,0,0 
1608091380,0,0,0 
1608091440,0,0,0 
1608091500,0,0,0 
1608091560,0,0,0 
1608091620,0,0,0 
1608091680,0,0,0 
1608091740,0,0,0 
1608091800,0,0,0 
1608091860,0,0,0 
1608091920,0,0,0 
1608091980,0,0,0 
1608092040,0,0,0 
1608092100,0,0,0 
1608092160,0,0,0 
1608092220,0,0,0 
1608092280,0,0,0 
1608092340,0,0,0 
1608092400,0,0,0 
1608092460,0,0,0 
1608092520,0,0,0 
1608092580,0,0,0 
1608092640,0,0,0 
1608092700,0,0,0 
1608092760,0,0,0 
1608092820,0,0,0 
1608092880,0,0,0 
1608092940,0,0,0 
1608093000,0,0,0 
1608093060,0,0,0 
1608093120,0,0,0 
1608093180,0,0,0 
1608093240,0,0,0 
1608093300,0,0,0 
1608093360,0,0,0 
1608093420,0,0,0 
1608093480,0,0,0 
1608093540,0,0,0 
1608093600,0,0,0 
1608093660,0,0,0 
1608093720,0,0,0 
1608093780,0,0,0 
1608093840,0,0,0 
1608093900,0,0,0 
1608093960,0,0,0 
1608094020,0,0,0 
1608094080,0,0,0 
1608094140,0,0,0 
1608094200,0,0,0 
1608094260,0,0,0 
1608094320,0,0,0 
1608094380,0,0,0 
1608094440,0,0,0 
1608094500,0,0,0 
1608094560,0,0,0 
1608094620,0,0,0 
1608094680,0,0,0 
1608094740,0,0,0 
1608094800,0,0,0 
1608094860,0,0,0 
1608094920,0,0,0 
1608094980,0,0,0 
1608095040,0,0,0 
1608095100,0,0,0 
1608095160,0,0,0 
1608095220,0,0,0 
1608095280,0,0,0 
1608095340,0,0,0 
1608095400,0,0,0 
1608095460,0,0,0 
1608095520,0,0,0 
1608095580,0,0,0 
1608095640,0,0,0 
1608095700,0,0,0 
1608095760,0,0,0 
1608095820,0,0,0 
1608095880,0,0,0 
1608095940,0,0,0 
1608096000,0,0,0 
1608096060,0,0,0 
1608096120,0,0,0 
1608096180,0,0,0 
1608096240,0,0,0 
1608096300,0,0,0 
1608096360,0,0,0 
1608096420,0,0,0 
1608096480,0,0,0 
1608096540,0,0,0 
1608096600,0,0,0 
1608096660,0,0,0 
1608096720,0,0,0 
1608096780,0,0,0 
1608096840,0,0,0 
1608096900,0,0,0 
1608096960,0,0,0 
1608097020,0,0,0 
1608097080,0,0,0 
1608097140,0,0,0 
1608097200,0,0,0 
1608097260,0,0,0 
1608097320,0,0,0 
1608097380,0,0,0 
1608097440,0,0,0 
1608097500,0,0,0 
1608097560,0,0,0 
1608097620,0,0,0 
1608097680,0,0,0 
1608097740,0,0,0 
1608097800,0,0,0 
1608097860,0,0,0 
1608097920,0,0,0 
1608097980,0,0,0 
1608098040,0,0,0 
1608098100,0,0,0 
1608098160,0,0,0 
1608098220,0,0,0 
1608098280,0,0,0 
1608098340,0,0,0 
1608098400,0,0,0 
1608098460,0,0,0 
1608098520,0,0,0 
1608098580,0,0,0 
1608098640,0,0,0 
1608098700,0,0,0 
1608098760,0,0,0 
1608098820,0,0,0 
1608098880,0,0,0 
1608098940,0,0,0 
1608099000,0,0,0 
1608099060,0,0,0 
1608099120,0,0,0 
1608099180,0,0,0 
1608099240,0,0,0 
1608099300,0,0,0 
1608099360,0,0,0 
1608099420,0,0,0 
1608099480,0,0,0 
1608099540,0,0,0 
1608099600,0,0,0 
1608099660,0,0,0 
1608099720,0,0,0 
1608099780,0,0,0 
1608099840,0,0,0 
1608099900,0,0,0 
1608099960,0,0,0 
1608100020,0,0,0 
1608100080,0,0,0 
1608100140,0,0,0 
1608100200,0,0,0 
1608100260,0,0,0 
1608100320,0,0,0 
1608100380,0,0,0 
1608100440,0,0,0 
1608100500,0,0,0 
1608100560,0,0,0 
1608100620,0,0,0 
1608100680,0,0,0 
1608100740,0,0,0 
1608100800,0,0,0 
1608100860,0,0,0 
1608100920,0,0,0 
1608100980,0,0,0 
1608101040,0,0,0 
1608101100,0,0,0 
1608101160,0,0,0 
1608101220,0,0,0 
1608101280,0,0,0 
1608101340,0,0,0 
1608101400,0,0,0 
1608101460,0,0,0 
1608101520,0,0,0 
1608101580,0,0,0 
1608101640,0,0,0 
1608101700,0,0,0 
1608101760,0,0,0 
1608101820,0,0,0 
1608101880,0,0,0 
1608101940,0,0,0 
1608102000,0,0,0 
1608102060,0,0,0 
1608102120,0,0,0 
1608102180,0,0,0 
1608102240,0,0,0 
1608102300,0,0,0 
1608102360,0,0,0 
1608102420,0,0,0 
1608102480,0,0,0 
1608102540,0,0,0 
1608102600,0,0,0 
1608102660,0,0,0 
1608102720,0,0,0 
1608102780,0,0,0 
1608102840,0,0,0 
1608102900,0,0,0 
1608102960,0,0,0 
1608103020,0,0,0 
1608103080,0,0,0 
1608103140,0,0,0 
1608103200,0,0,0 
1608103260,0,0,0 
1608103320,0,0,0 
1608103380,0,0,0 
1608103440,0,0,0 
1608103500,0,0,0 
1608103560,0,0,0 
1608103620,0,0,0 
1608103680,0,0,0 
1608103740,0,0,0 
1608103800,0,0,0 
1608103860,0,0,0 
1608103920,0,0,0 
1608103980,0,0,0 
1608104040,0,0,0 
1608104100,0,0,0 
1608104160,0,0,0 
1608104220,0,0,0 
1608104280,0,0,0 
1608104340,0,0,0 
1608104400,0,0,0 
1608104460,0,0,0 
1608104520,0,0,0 
1608104580,0,0,0 
1608104640,0,0,0 
1608104700,0,0,0 
1608104760,0,0,0 
1608104820,0,0,0 
1608104880,0,0,0 
1608104940,0,0,0 
1608105000,0,0,0 
1608105060,0,0,0 
1608105120,0,0,0 
1608105180,-232.50000000000028,-232.50000000000028,0 
1608105240,-102.49999999999986,-102.49999999999986,0 
1608105300,150.0,150.0,0 
1608105360,292.4999999999997,292.4999999999997,0 
1608105420,138.74999999999957,138.74999999999957,0 
1608105480,-153.75000000000014,-153.75000000000014,0 
1608105540,-428.7500000000001,0,-428.7500000000001 
1608105600,-428.7500000000001,0,-428.7500000000001 
1608105660,-428.7500000000001,0,-428.7500000000001 
1608105720,-428.7500000000001,0,-428.7500000000001 
1608105780,-428.7500000000001,0,-428.7500000000001 
1608105840,-428.7500000000001,0,-428.7500000000001 
1608105900,-428.7500000000001,0,-428.7500000000001 
1608105960,-428.7500000000001,0,-428.7500000000001 
1608106020,-428.7500000000001,0,-428.7500000000001 
1608106080,-465.00000000000057,-36.250000000000426,-428.7500000000001 
